謝罪一つよこさないおまえらの顔など見たくないから廊下で私とすれ違うの禁止,"[0,1]"
わかるまで3000年かかった,"[0,1]"
そういうことでおふたりの門出を祝う,"[0,1]"
効率良く高齢者を中心に人を減らせるかもなぁ,"[0,1]"
えらーい→どこが？,"[0,1]"
手厚く保護,"[0,1]"
イギリス,"[0,1]"
立派,"[0,1]"
孤高に屹立なさっておられる,"[0,1]"
賢人ぶった人,"[0,1]"
強い,"[0,1]"
イロニーの目をむける,"[0,1]"
エコにも節電にも節税にもなる。##,"[0,1]"
日本の警察は優秀ですね,"[0,1]"
どんだけできた人間,"[0,1]"
やはり彼女は偉大な殺人者だったのだ,"[0,1]"
マイノリティなんじゃね…,"[0,1]"
暴れまわる,"[0,1]"
企業努力笑みたいに言ってるの多方面から物事を見れない人なんだろうなぁって思う,"[0,1]"
打撃,"[0,1]"
肌も黒いしイエローやろってよく言われて、黄疸の数値結構高い,"[0,1]"
しっかり仕事をしている,"[0,1]"
わろてる なんなの？,"[0,1]"
整合性のある理論体系を示せる,"[0,1]"
まともな夫さんだな〜,"[0,1]"
悩む必要なさそうだな。,"[0,1]"
良いよねぇ君は〜,"[0,1]"
休日の皆さんは良い休日をw,"[0,1]"
美意識高い女性はそりゃ,"[0,1]"
面白いこと考えるよね,"[0,1]"
成し遂げた偉業,"[0,1]"
忠義一筋の切れ者、良吏ばかり,"[0,1]"
絶好調ですなぁ,"[0,1]"
戦争真っ只中の国をよく分からんネタに使ってんの,"[0,1]"
買わないようにしましょう,"[0,1]"
想像がつくから良い社会勉強になりましたよ！！ってことでもうあそこに用は無いんで^^,"[0,1]"
横柄,"[0,1]"
素敵じゃん,"[0,1]"
笑える##最高に笑える,"[0,1]"
ひとりドーナツ化現象,"[0,1]"
意気込んでて,"[0,1]"
腕のしびれ悪化責任は、国になるのでは？,"[0,1]"
不正確,"[0,1]"
空気がうまい,"[0,1]"
それ才能だと思うわたしはゴミやな,"[0,1]"
がんじがらめウェーイ##帰るぜウェーイ,"[0,1]"
見習いたい,"[0,1]"
お金って偉大やな,"[0,1]"
鎖国国家,"[0,1]"
デュエマ界隈っていいよね,"[0,1]"
オツムがあさっての人,"[0,1]"
自分おもろいこと言ってるでしょ？」みたいに思ってるならかなり痛い,"[0,1]"
最高の日だよ,"[0,1]"
酒,"[0,1]"
軍事費のGDP比%爆上がりするんじゃないすかね,"[0,1]"
メンタル強いの逆にすげぇわ,"[0,1]"
えらーい　あおってる,"[0,1]"
ばかりである,"[0,1]"
